JulianDay,ANOC,CAPA,ERMO,ERPE,LIGR,LUAR,MIAL,PEBR,POBI,VASI
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
164,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
165,3.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0
166,3.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0
167,3.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0
168,4.0,3.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0
169,4.0,3.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0
170,4.0,5.0,2.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0
171,4.0,5.0,2.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0
172,4.0,5.0,2.0,1.0,0.0,6.0,1.0,0.0,0.0,2.0
173,4.0,5.0,2.0,3.0,0.0,7.0,2.0,1.0,0.0,4.0
174,4.0,6.0,2.0,3.0,0.0,7.0,2.0,1.0,0.0,5.0
175,4.0,6.0,2.0,3.0,0.0,7.0,1.0,1.0,0.0,5.0
176,4.0,6.0,2.0,3.0,0.0,7.0,1.0,1.0,0.0,5.0
177,4.0,6.0,2.0,5.0,1.0,8.0,1.0,2.0,5.0,5.0
178,3.0,6.0,1.0,5.0,1.0,7.0,0.0,2.0,5.0,5.0
179,3.0,6.0,1.0,5.0,1.0,8.0,0.0,3.0,6.0,5.0
180,3.0,6.0,1.0,6.0,1.0,8.0,2.0,3.0,6.0,6.0
181,3.0,6.0,1.0,6.0,1.0,8.0,2.0,3.0,6.0,6.0
182,3.0,6.0,1.0,6.0,1.0,7.0,1.0,3.0,6.0,6.0
183,3.0,6.0,1.0,6.0,1.0,7.0,0.0,3.0,6.0,6.0
184,3.0,6.0,1.0,6.0,3.0,7.0,0.0,3.0,6.0,6.0
185,3.0,6.0,1.0,6.0,3.0,7.0,0.0,3.0,6.0,6.0
186,3.0,6.0,1.0,7.0,5.0,7.0,0.0,3.0,6.0,6.0
